id,reference_path,search_path,gt_x,gt_y,gt_box_x,gt_box_y,gt_box_w,gt_box_h,architecture,beam_spot_size_nm,collapse_threshold_nm,dose_reference,dose_search,shear_amplitude_px,drift_jitter_px,astigmatism_ratio,vignette_strength,gamma,barrel_distortion_k,charging_streak_prob,charging_streak_intensity,speckle_sigma,salt_pepper_prob,linewidth_bias_nm,corner_rounding_px,mat_size_nm,strip_width_nm,boundary_bias,edge_brightness_gain,rotation_deg,brightness_jitter,contrast_jitter,sample_seed
10,reference\00010.png,search\00010.png,552.8150791883469,403.8,504.1,353.8,100,100,dram_compact,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1367009373
11,reference\00011.png,search\00011.png,693.9025437787175,491.1,643.8,441.1,100,100,finfet_10nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1973424547
12,reference\00012.png,search\00012.png,288.6672219753265,950.0,240.2,900.0,100,100,finfet_7nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1819997194
13,reference\00013.png,search\00013.png,149.71627554893493,568.9,100.6,518.9,100,100,dram_wide,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1059324867
14,reference\00014.png,search\00014.png,894.0943417072297,245.5,844.7,195.5,100,100,dram_legacy,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,608397537
15,reference\00015.png,search\00015.png,485.5310444831848,465.7,436.5,415.7,100,100,finfet_28nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,470337525
16,reference\00016.png,search\00016.png,551.6653470516205,271.0,502.2,221.0,100,100,finfet_10nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1297652859
17,reference\00017.png,search\00017.png,920.457222187519,749.1,871.4,699.1,100,100,finfet_10nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1405737904
18,reference\00018.png,search\00018.png,689.0729304648936,273.7,639.1,223.7,100,100,finfet_28nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1073773235
19,reference\00019.png,search\00019.png,883.2781385779381,577.8,833.5,527.8,100,100,dram_compact,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1880510245
20,reference\00020.png,search\00020.png,459.3331936597824,897.0,411.0,847.0,100,100,finfet_28nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,327269235
21,reference\00021.png,search\00021.png,193.76192276477815,892.9,144.3,842.9,100,100,finfet_28nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,488379863
22,reference\00022.png,search\00022.png,141.6847994863987,277.1,91.4,227.1,100,100,finfet_10nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,80608893
23,reference\00023.png,search\00023.png,864.3266335874796,550.8,814.5,500.8,100,100,dram_wide,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,831216778
24,reference\00024.png,search\00024.png,570.9729435499758,707.6,521.0,657.6,100,100,finfet_28nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,194371015
25,reference\00025.png,search\00025.png,166.5682707309723,518.7,115.8,468.7,100,100,finfet_22nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1630491845
26,reference\00026.png,search\00026.png,143.25337781906128,759.7,95.4,709.7,100,100,dram_compact,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1244183653
27,reference\00027.png,search\00027.png,442.7892269015312,125.9,393.2,75.9,100,100,finfet_22nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1711168786
28,reference\00028.png,search\00028.png,819.3047834038734,127.8,769.5,77.8,100,100,dram_dense,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1597965449
29,reference\00029.png,search\00029.png,221.70560231208802,178.7,171.4,128.7,100,100,dram_dense,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1291156136
30,reference\00030.png,search\00030.png,281.0750084161758,767.1,232.9,717.1,100,100,finfet_22nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,16185127
31,reference\00031.png,search\00031.png,196.9236218690872,102.9,147.6,52.9,100,100,dram_legacy,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1051417596
32,reference\00032.png,search\00032.png,850.8659897103905,592.6,800.8,542.6,100,100,dram_compact,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,926708685
33,reference\00033.png,search\00033.png,719.7370498239994,298.8,670.1,248.8,100,100,dram_compact,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,320684151
34,reference\00034.png,search\00034.png,720.9022613048553,300.5,671.8,250.5,100,100,finfet_7nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,115794971
35,reference\00035.png,search\00035.png,563.6620292425156,433.2,514.6,383.2,100,100,dram_dense,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1784269850
36,reference\00036.png,search\00036.png,829.6349287673831,315.0,779.7,265.0,100,100,finfet_28nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1533134656
37,reference\00037.png,search\00037.png,711.399074070889,375.4,661.4,325.4,100,100,dram_wide,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1247015888
38,reference\00038.png,search\00038.png,276.99013780355455,709.9,227.8,659.9,100,100,finfet_10nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1613629803
39,reference\00039.png,search\00039.png,804.5556975126267,766.1,756.2,716.1,100,100,finfet_45nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1060486430
40,reference\00040.png,search\00040.png,359.27895963191986,945.6,310.0,895.6,100,100,dram_loose,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1943267805
41,reference\00041.png,search\00041.png,949.7407415509224,571.8,900.0,521.8,100,100,dram_legacy,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,612780806
42,reference\00042.png,search\00042.png,240.34582648277282,856.0,192.1,806.0,100,100,finfet_10nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1609012364
43,reference\00043.png,search\00043.png,432.73369220495226,461.3,383.6,411.3,100,100,finfet_14nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1930727139
44,reference\00044.png,search\00044.png,572.5000913619995,903.7,523.8,853.7,100,100,finfet_14nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,736128201
45,reference\00045.png,search\00045.png,840.952765917778,725.1,792.6,675.1,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1678239142
46,reference\00046.png,search\00046.png,411.8707659006119,848.9,363.1,798.9,100,100,dram_compact,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,286598762
47,reference\00047.png,search\00047.png,700.337056183815,872.5,651.9,822.5,100,100,finfet_28nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1979986676
48,reference\00048.png,search\00048.png,549.1332145810127,116.9,499.8,66.9,100,100,finfet_45nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1241133863
49,reference\00049.png,search\00049.png,829.522328415513,189.0,779.4,139.0,100,100,dram_loose,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,164678692
